Tool Name,Description,Tool Type,Grade Level,Tags,URL,Use Case 1,Use Case 2,Use Case 3
Achieve3000,AI-powered differentiated literacy platform,Literacy Platform,K-12 & Higher Ed,"differentiated reading, nonfiction, comprehension",https://www.achieve3000.com,Differentiated reading,Nonfiction texts,Reading comprehension
Anki,Spaced repetition flashcard system with AI scheduling,Study Tool,K-12 & Higher Ed,"flashcards, spaced repetition, memory",https://apps.ankiweb.net,Language learning,Medical studies,Memory retention
Babbel,AI-powered language learning for practical skills,Language Learning,Adults & High School,"conversation, practical language, culture",https://apps.ankiweb.net,Conversational skills,Language practice,Cultural learning
Blooket,Gamified review platform with AI question banks,Gamification,K-12,"games, review, assessment",https://apps.ankiweb.net,Review games,Assessment,Student engagement
Bloomz,Classroom communication app with AI features,Communication,K-12,"parent communication, updates, behavior tracking",https://www.bloomz.com,Parent communication,Class updates,Student behavior tracking
Book Creator,Digital book creation platform with AI features,Creative Tool,Elementary & Middle,"books, creativity, multimedia",https://bookcreator.com,Digital books,Story creation,Multimedia projects
Bookshare,Accessible digital library with AI features,Digital Library,K-12,"accessible books, disabilities, text-to-speech",https://www.bookshare.org,Accessible books,Reading disabilities,Text-to-speech
Brightwheel,Childcare management with AI attendance tracking,Childcare Management,Early Childhood,"attendance tracking, parent updates, documentation",https://mybrightwheel.com,Attendance tracking,Parent updates,Activity documentation
Busuu,AI-enhanced language learning with speech recognition,Language Learning,K-12 & Adults,"language practice, speech recognition, conversation",https://www.busuu.com,Language practice,Speaking skills,Conversation practice
Cambly,AI-matched English conversation practice,Language Practice,K-12 & Adults,"English conversation, speaking, native speakers",https://www.cambly.com,English conversation,Speaking practice,Native speakers
Canva for Education,AI-powered design platform for educational materials,Design Tool,K-12,"design, visuals, templates",https://www.canva.com/education/,Visual content creation,Infographic design,Presentation materials
ChatGPT,Advanced AI language model for generating text and answering questions,Conversational AI,K-12 & Higher Ed,"AI assistant, text generation, education",https://chat.openai.com,Lesson planning,Content creation,Student tutoring
Chegg,AI-powered homework help and tutoring platform,Study Platform,Higher Ed & High School,"homework help, solutions, tutoring",https://www.chegg.com,Homework assistance,Step-by-step solutions,Tutoring
ClaroRead,AI reading and writing support software,Accessibility Tool,K-12,"reading difficulties, writing support, accessibility",https://www.clarosoftware.com,Reading difficulties,Writing support,Text-to-speech
